student,balance,income,class
0,315.9532575,38938.97575,0
0,289.6815694,45991.04432,0
1,994.0907388,17401.84724,1
0,1167.325681,43337.13006,1
1,773.3811632,18978.18845,0
1,1098.955685,21025.92746,1
1,639.3719435,17037.0548,0
1,0,9816.789438,0
0,312.127697,37743.50812,0
0,1396.789181,40371.12474,1
1,1486.3773,19164.3504,1
0,1706.046305,32900.71144,1
0,1378.297068,43411.66192,1
1,344.3089096,14256.24175,0
0,692.0341671,47806.61177,0
0,326.1509299,32919.97105,0
0,1047.927091,59765.59967,1
0,684.7150446,27951.19723,0
0,902.7136645,23847.39229,0
1,703.6859705,16617.57009,0
0,307.4762385,36120.96859,0
0,1461.887463,38559.07348,1
0,0,39329.80818,0
0,977.9479232,38368.48417,1
1,1251.085756,21968.26999,1
0,1178.158858,44437.20214,1
1,813.4948376,16681.3503,0
1,1103.681782,14225.72134,0
0,891.1921462,35862.1673,0
0,321.5883321,52711.61736,0
0,870.9717257,39653.37672,0
0,608.4289941,56483.0569,0
0,250.9888204,33568.53155,0
0,949.1290849,28411.65649,1
0,1753.915146,43855.83313,1
0,487.1168883,55459.453,0
1,759.6787942,18871.40179,0
0,333.0727083,61508.75656,0
0,1174.519506,23942.20577,1
1,1054.200208,19440.97318,1
0,394.9902144,41574.83351,0
0,0,49772.97475,0
0,0,48411.0769,0
1,927.7727236,18148.06928,1
1,1155.780577,15146.89646,0
0,152.5030074,39502.8368,0
0,198.7309179,33512.93037,0
1,130.1477105,15174.67298,0
1,1657.113859,10852.29313,1
0,999.6540136,27564.68871,1
1,773.7302157,14841.98962,0
1,1005.521508,22128.0802,1
0,874.6174204,37143.64487,0
0,1131.412434,37663.22687,1
1,670.4934929,16513.04426,0
0,1301.650765,38918.99417,1
0,929.7454817,36071.52426,1
0,605.8638006,34515.19566,0
1,1211.363648,14186.38867,0
0,194.5759668,44543.781,0
0,416.1282864,21960.62456,0
0,1546.760526,32928.63613,1
0,603.6616705,44663.73612,0
0,995.4084089,40907.49695,1
0,625.4198746,47406.24077,0
0,518.3699058,27527.2348,0
0,1356.729836,37664.03739,1
0,1558.463471,41648.32617,1
1,611.2088966,19733.2518,0
1,1082.747976,26096.33703,1
1,365.2229558,15375.15172,0
0,1278.429972,25590.65652,1
0,262.9951148,17822.61335,0
1,1053.161735,25222.97884,1
0,217.1635013,26975.49181,0
0,1376.075401,22317.56559,1
0,44.31361993,30449.25019,0
0,1238.371887,42321.52715,1
1,527.0560852,22986.28382,0
0,1033.121155,66304.77382,1
0,237.4898898,44614.71632,0
0,438.6250849,41454.72128,0
0,1207.53273,68037.57513,1
0,1144.912479,41370.51658,1
0,37.99084851,43787.7819,0
1,1260.828176,22372.2875,1
0,1028.181249,32249.84567,1
0,1387.873287,27145.70328,1
1,922.8853555,22988.84265,1
0,237.9761856,38229.51786,0
0,574.4516329,40727.64293,0
0,0,39858.12723,0
1,1516.317689,26377.59349,1
0,837.6953592,44260.76441,0
0,908.8882984,42205.2065,0
0,855.4263748,48653.58256,0
1,137.4314686,22783.42097,0
1,1526.025134,20894.07666,1
1,1240.0956,20134.64729,1
0,762.9128371,41617.81395,0
1,327.4198831,14938.94435,0
0,1805.559588,40119.78783,1
0,680.1644594,25391.63308,0
1,810.3209365,20498.66581,0
1,1384.737597,23083.66709,1
1,470.9123472,24074.36465,0
0,857.0690531,26655.68897,0
0,873.1255251,34352.70032,0
0,1322.152854,47892.88998,1
1,1713.312471,17432.27359,1
0,614.1406212,17472.91489,0
0,772.8092199,39944.6072,0
1,199.1270927,19913.6025,0
0,1295.613346,39717.73601,1
0,901.0122829,13498.12653,0
0,253.8508786,41472.12196,0
0,1731.680766,56228.92168,1
0,319.6023694,53135.36704,0
0,570.0246843,40987.06233,0
0,1240.66425,30938.53745,1
1,1282.972534,13120.63647,1
0,442.8302223,55074.13083,0
1,598.7333129,23118.5311,0
0,382.8850624,42620.53023,0
0,980.0371689,31977.56333,1
